"Model","In_sample_RMSE","Out_of_sample_RMSE"
"Mean",0.00288032270464943,0.00169651850238289
"ARIMAX",0.00276230678924528,0.00173266755814659
"ARIMA",0.00279925672554602,0.00175135435912264
"ETS",0.00284625273540671,0.00190675804170582
"Persistence",0.00357063955197051,0.00253365396250048
