"Model","In_sample_RMSE","Out_of_sample_RMSE"
"ARIMA",0.00277565679390286,0.000980429639199636
"ARIMAX",0.00263753491736508,0.00109115885780658
"Persistence",0.00327195061581221,0.00117595512417783
"Mean",0.00327645145485559,0.00120986498897438
"ETS",0.00314598187248494,0.00130888179822138
