variable,infl,gdp_can_l1,unemp_can_l1,ippi_can_l1,oil_wti_l1,exrate_can_l1
infl,1,0.19520885417245354,-0.04040616142607372,0.08713285333797985,0.3328430745914607,0.10749975283457916
gdp_can_l1,0.19520885417245354,0.9999999999999999,-0.04092672663792995,-0.010824513383216564,0.5751090578901378,0.11024362958235451
unemp_can_l1,-0.04040616142607372,-0.04092672663792995,1,0.05948364544938642,0.10789359562748839,0.1109359743770844
ippi_can_l1,0.08713285333797985,-0.010824513383216564,0.05948364544938642,1,-0.08003632588516486,-0.5486487272755484
oil_wti_l1,0.3328430745914607,0.5751090578901378,0.10789359562748839,-0.08003632588516486,0.9999999999999999,0.4526623930897968
exrate_can_l1,0.10749975283457916,0.11024362958235451,0.1109359743770844,-0.5486487272755484,0.4526623930897968,1
