country,model,mae,rmse,rmse_gain_vs_benchmark_pct,mae_gain_vs_benchmark_pct
Canada,benchmark_ar1,0.002284346238975519,0.0030591294190741108,0,0
Canada,lasso,0.0022099739671243915,0.0030062933499840952,1.7271603077847912,3.255735517768182
United States,benchmark_ar1,0.0018623466657746097,0.0026129416393036856,0,0
United States,lasso,0.002013334417023098,0.0028171673490528,-7.815930776147671,-8.107392357356192
