country,model,mae,rmse,rmse_gain_vs_benchmark_pct,mae_gain_vs_benchmark_pct
Canada,benchmark_ar1,0.002284346238975519,0.0030591294190741108,0,0
Canada,multivariate_lm,0.0022557544866062076,0.0030797783657988192,-0.6749942188113819,1.2516382972720588
United States,benchmark_ar1,0.0018623466657746097,0.0026129416393036856,0,0
United States,multivariate_lm,0.0020966372368616914,0.003018841244184321,-15.534200947128786,-12.580395228921185
