variable,infl,gdp_us_l1,u6_us_l1,ppi_us_l1,oil_wti_l1,mxp_us_l1
infl,1,0.24419623731073709,-0.12366705321320226,0.21229927413934932,0.4961161738402479,0.3476918711699702
gdp_us_l1,0.24419623731073709,0.9999999999999999,-0.0893024529759608,-0.10519450291465607,0.45479535226326423,0.1879351750045915
u6_us_l1,-0.12366705321320226,-0.0893024529759608,1,-0.11196575656908894,0.038579789542486045,-0.030457051587745188
ppi_us_l1,0.21229927413934932,-0.10519450291465607,-0.11196575656908894,1,0.08897945277526059,0.3104189860762918
oil_wti_l1,0.4961161738402479,0.45479535226326423,0.038579789542486045,0.08897945277526059,1,0.3141928257901869
mxp_us_l1,0.3476918711699702,0.1879351750045915,-0.030457051587745188,0.3104189860762918,0.3141928257901869,1
