Country,Model,Order,Holdout_RMSE,Training_RMSE
Canada,ARIMA,"1,0,1",0.0017513543591022136,0.0027992567255460143
United States,ARIMA,"1,0,2",9.80429639197032e-4,0.002775656793902885
