"date","infl_can","infl_us","gdp_can_growth","gdp_us_raw","unemp_can_raw","unemp_us_raw","ippi_can_inf","ppi_us_inf","oil_inf","exrate_can_inf","mxp_us_inf"
2003-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-01-01,NA,NA,NA,1.24012143850383,7.3,9.8,NA,NA,NA,0.00722171678510897,NA
2004-02-01,0,0.0021447729401336,-0.000639001406028683,2.51901341096051,7.3,9.7,0.0201518154373082,0,0.0110146041113,-0.0261835380008071,0.00405269045062351
2004-03-01,0,0.00214018273236771,0.00885024454060179,3.68229549354374,7.3,10,0.00621506040343434,0.00597016698650421,0.0574146188053213,0.00404921905077593,0.00202020270727576
2004-04-01,0.00288878390589087,0.00160213652427732,0.00253818140814488,2.34361574652796,7.2,9.6,0.012315426590054,0.00461894585629441,0.00027214587186597,-0.00529843845120848,0.00302267232658604
2004-05-01,0.00670821873511862,0.00425985734695811,0.000957810027228945,3.86519086567423,7.1,9.7,0.0121656001636881,0.00525280262285932,0.091716842191516,-0.0229701385675245,0.00201005092802387
2004-06-01,0.000954654010450362,0.00371254735618454,0.00484971117087163,3.15289812926828,7.2,9.6,-0.0036341651142191,0.00130890071042966,-0.0574797459101934,0.0109186434807116,0.00100351237724006
2004-07-01,0,0.00105820115694755,0.000910631606091172,4.44937936261801,7.1,9.5,-0.00243013485329158,-0.00590359208873981,0.069816443206141,0.025810570057379,0
2004-08-01,-0.000954654010450362,0.000528680953365779,0.00422252522437816,3.65244101562627,7,9.4,0.00243013485329158,0.00197173905483972,0.0962460296018994,0.00737028620395286,0.00300450902029947
2004-09-01,0.000954654010450362,0.00316622955805013,0.0027886061100002,3.14829751998559,6.9,9.4,-0.0073081933067245,0.00196785894924023,0.0228984025127437,0.017991186705979,0.000999500333082715
2004-10-01,0.00380952841666815,0.00525487283835879,0.000307811286129223,4.17651836692173,7.1,9.7,-0.0123002780816517,0.0071825316941938,0.148224828971181,0.0288301140280103,-0.000999500333082715
2004-11-01,0.00474159257258222,0.00470589103741226,0.00373641210852682,3.99460896798682,7.2,9.4,-0.0162199438667638,0.00130039030028328,-0.0946159763748491,0.0347187359378269,0.00895974137147171
2004-12-01,0.000945626548007006,0,0.000181799236500524,6.08260348603883,7.1,9.3,0.0100125992924296,0.00259571852428131,-0.116262632327848,-0.0243589589150881,0.00395648389507386
2005-01-01,0,-0.000521784514838863,0.00483750839115515,5.16969957756739,6.9,9.2,0.00496895432318745,0.00323520178651204,0.0820551212000797,-0.00241091779829539,0.00295712388974412
2005-02-01,0.000944733183161794,0.00416667269484616,0.000661630318989026,3.72577745703994,7,9.2,0.00986444497091377,0.00193610902686636,0.0275835995146179,-0.0121425553302004,0.000983767910132549
2005-03-01,0.00282885620047768,0.00363165120286268,-0.00343199407786976,0.585983274096145,6.9,9.1,-0.0024570036930518,0.00257566143679533,0.118175251333888,0.0164780310743389,0.00294551022975664
2005-04-01,0.00188146809970569,0.00310238097848181,0.00734806119250031,2.17292132504676,6.7,9,0.0024570036930518,0.00256904444444217,-0.022581905734099,-0.0120897067079442,0.0039138993211365
2005-05-01,-0.000940291559642148,-0.000516395570473449,0.004256359336269,1.21440556632279,7,8.9,0.00122624172324404,0.0012820514576557,-0.0612972715506106,-0.0148020150952188,-0.00195503483580328
2005-06-01,0.00281822638384188,0.000516395570473449,0.00297207258663512,3.85582617451319,6.8,9,-0.00614630084869372,-0.00320821577709562,0.122965028192472,0.0168433280762326,-0.00195886448533322
2005-07-01,0.0018744147943508,0.00617603610056427,0.00255947462106931,3.29731375240498,6.7,8.8,-0.00866878493644663,0.00128452169235693,0.0459552034199344,0.0179959627299331,-0.00196270916784869
2005-08-01,0.00467072311055805,0.00613812668878566,0.00376197688617808,4.48040266056225,6.7,8.9,-0.00249066131245179,-0.000642054596695196,0.0966959680005379,0.00949224023294537,0.000981836112257106
2005-09-01,0.00927650437029204,0.0136745610201734,0.000822943461349368,0.327336317208226,6.7,9,-0.00249688019858763,0.00448574927125822,0.00918983339938695,0.0230668115830905,0.00879341279238588
2005-10-01,-0.00184842936178242,0.00150791684767704,0.00335529344155816,0.994364241661129,6.7,8.7,0.00623054975063653,-0.00127959070562511,-0.0521040802921826,0.00625807306517867,0.00968061771072293
2005-11-01,-0.00185185238107355,-0.00503525736564558,0.00545343733543113,3.34158921533847,6.3,8.7,0.00371978110253224,0.00127959070562511,-0.0653740773130593,-0.00137709454858737,-0.000963855496306287
2005-12-01,0.000926354860131262,0,0.00527140710850205,5.13140457771197,6.6,8.6,0,0.00191632125076424,0.018517474667247,0.0162205123662638,0
2006-01-01,0.00829880281469464,0.0060392735142436,0.00245834012946489,7.20806516571789,6.7,8.4,0.00493828164058208,0.00254939589960035,0.0974348968623122,-0.00289671606552933,0.00288878390589087
2006-02-01,-0.00367985695840023,0.000501630308988865,0.00218707634351389,4.8288876700828,6.6,8.4,0,-0.00254939589960035,-0.0607486942558104,0.00956340742371875,-0.0067535230157798
2006-03-01,0.000921234519320357,0.00150338289403162,0.0022658869554455,3.22440976659768,6.5,8.2,0.00368777307918489,0.00191265598633272,0.0170531803117253,-0.00720918685069893,-0.00290838789595682
2006-04-01,0.00459348533919002,0.00499501538052272,0.000202267332698014,-0.234724674142766,6.5,8.1,0.00367422336188472,0.00190900471592492,0.102261125066218,0.00828609622517007,0.000970402793278424
2006-05-01,0.000916170471779942,0.00298507684345406,0.000461307117637588,-0.227245207256412,6.2,8.2,0.00244200365555169,0,0.0199607425625379,0.0235784721963244,0.00676657970887362
2006-06-01,-0.000916170471779942,0.00248077527376278,-0.00164581869363722,-0.797510840729575,6.3,8.4,-0.00488998529419238,0.00317359834754161,0.00155159069141853,0.00166309286002075,0.0038461585874785
2006-07-01,0.000916170471779942,0.00543613891225991,0.00182132587959316,-0.567962474474236,6.5,8.5,0.0133903400595843,-0.00380952841666815,0.0476149378031181,-0.0143583175818387,0
2006-08-01,0.00182982667707599,0.00442587395685567,0.000718652883492155,2.76297945653322,6.5,8.4,-0.00484849434662138,0.00634117533844769,-0.0185831051224561,0.00530927713848861,0.0047869885572247
2006-09-01,-0.00366300775873718,-0.00491884907159612,-0.00146931322739441,3.37547559838882,6.5,8,0,0.00378549347948187,-0.135254045935969,0.00405144115914968,0.000954654010450362
2006-10-01,0.000917010609881252,-0.00444774639823642,0.00156908529365651,3.72908800471947,6.3,8.2,0.00605695370818982,-0.00378549347948187,-0.0800818933942642,-0.0105147865157447,-0.00574164256767506
2006-11-01,0.00365965641753085,0.00049517208241312,0.00218885078548681,3.35979468661636,6.5,8.1,0.00120700075003555,0.00567288001018706,0.00322116070669942,-0.0111653162952647,0.00955117098434322
2006-12-01,0.00364631215302058,0.00543077118513402,0.00624720293574299,3.40292939728598,6.3,7.9,0.00960391535418026,0.0037641198772258,0.0475965578854884,-0.0183108814348714,0.00474159257258222
2007-01-01,0.00272603530923821,0.00165790605623251,-0.00215657741904884,-1.4511872388007,6.4,8.3,0.00714288751238001,0.00312597941329251,-0.128104844472478,-0.0179070688597003,-0.00094652160403097
2007-02-01,0.0036231923694201,0.00387084913353952,0.00482170722180442,1.08767636854285,6.3,8.1,0.00473373665019938,0.00746272120158942,0.0838878099116425,0.00288305245037357,0
2007-03-01,0.00541029272824733,0.00518664749319964,0.00208236712350995,2.82115840371001,6.3,8,0.00588583217726146,0.00309310484774095,0.019379156416707,-0.000185752763606217,0.00283688133519977
2007-04-01,0.00269420908369167,0.00299616948199866,0.00129704604806413,2.40473017711895,6.3,8.2,-0.00117439825594179,0.00246761383695571,0.0569193971168334,0.025584816733315,0.00282885620047768
2007-05-01,0,0.00412447665692373,0.00441046845205761,2.97252145415233,6.2,8.2,-0.00707550121620049,0,-0.00816074836632286,0.0345260736877524,0.00563381771825622
2007-06-01,-0.00179533261867437,0.002314072179459,0.00290134253512697,2.06192916812346,6.1,8.3,-0.00951255686769858,0.000615953207032227,0.0615696526002658,0.0284551014184711,0.0028050509276083
2007-07-01,0.000898069211684671,0.001779012466681,-7.51379032326582e-05,1.21243879792612,6,8.4,-0.00839836969883123,0.00246002584086291,0.0937059626618444,0.00804373330687191,0.000933271182998574
2007-08-01,-0.000898069211684671,0.000308233200118302,0.00308311200545042,3.15778268101384,6,8.4,-0.00725517088117211,0.00122774723832197,-0.0240317408900648,-0.00549661017734326,0
2007-09-01,0.00358744779365594,0.00422860024543859,-0.00150226533815889,3.6339701329282,6,8.4,-0.0109824166686092,0.00306278953054573,0.0993724738132036,0.0256166694515079,-0.000933271182998574
2007-10-01,0.00178890924272501,0.00307849440109909,0.00124801287589449,3.36845855920826,6,8.4,-0.0123458358222992,0.00670529790566121,0.0709928721536182,0.0454035979787752,0.00558660670863986
2007-11-01,0.0026773777707163,0.00782816408287346,0.00124292175689256,2.06015620777173,6.1,8.5,-0.00248756347180201,0.00182094132258381,0.0994338969881872,0.0055135615413926,0.00740058881817163
2007-12-01,0.00355872261699375,0.00289382340294875,-0.00347320131263196,-2.10650388305796,6.2,8.8,0.0111456262149163,0.00302755302403757,-0.0330395814202946,-0.03835077510898,0.00367985695840023
2008-01-01,-0.0017777782459989,0.0034417753671736,0.00454624809665916,-3.13876239412207,6.1,9.1,0.0098040000966213,0.00722894714315192,0.0138635384059578,-0.0109147199841786,0.00731933734227042
2008-02-01,0.0017777782459989,0.00241490863745408,-0.00145731489945256,-2.48034353682588,6.1,9,0,0.00239808268401287,0.0256968906893498,0.00723508870131262,0.00636076656181039
2008-03-01,0.00177462335836864,0.00357164189274517,0.0021298848686957,1.13087703686143,6.2,9.1,0.00970881412696034,0.00418285641240779,0.100263155767667,-0.0104583651809937,0.0108109161042149
2008-04-01,0.0044228289700019,0.00231170696550809,0.00240413401039064,4.482789878732,6.2,9.2,0.00841857046559635,0.00297707870968456,0.0654271731110967,-0.0171158425859641,0.0133513331748647
2008-05-01,0.00703608883406925,0.00590005206812361,0.00027224503159573,3.33758944356904,6.2,9.7,-0.00119832249210905,0.0047449673842257,0.10784454816294,0.0178605982991504,0.00704848733106189
2008-06-01,0.00698692798667988,0.0104237187971661,0.00226426999349449,1.46944776919363,6.1,10,0.0107335556431085,0.00413345731710724,0.065435248144305,-0.0181132617948307,0.00874131440157289
2008-07-01,0.00434216921928954,0.00711606539350473,0.00460294765450264,-1.66436388212248,6.2,10.5,0.0070922283094923,0.00587545756021424,-0.00381665570882195,-0.000926979377886106,0.00607377138356746
